Date,Rep,Lead Source,Leads Issued,Demos,Sales,Revenue
2026-05-13,Bradley,Self Gen,6,5,3,42500
2026-05-13,Lucas,Marketing,5,4,2,31500
2026-05-13,Joel,Siding Lead,4,2,1,18200
2026-05-14,Bradley,Referral,3,3,2,34000
2026-05-14,Lucas,Self Gen,7,5,2,31500
2026-05-14,Joel,Marketing,4,2,0,0
2026-05-15,Bradley,Marketing,4,3,1,14500
2026-05-15,Lucas,Referral,3,3,2,38000
2026-05-15,Joel,Siding Lead,5,3,1,22500
2026-05-16,Bradley,Self Gen,5,4,2,28500
2026-05-16,Lucas,Marketing,6,3,1,16500
2026-05-16,Joel,Self Gen,3,2,1,12000
2026-05-17,Bradley,Referral,2,2,1,19000
2026-05-17,Lucas,Self Gen,5,4,2,33500
2026-05-17,Joel,Marketing,4,1,0,0
